kelas,kategori,target_bulan,materi
SMP 1,Baca Huruf Quran,Juli,Al Quran Juz 12
SMP 1,Baca Huruf Quran,Agustus,Al Quran Juz12
SMP 1,Baca Huruf Quran,September - Oktober,Al Quran Juz 13
SMP 1,Baca Huruf Quran,November - Desember,Al Quran Juz 14
SMP 1,Baca Huruf Quran,Januari - Februari,Al Quran Juz 15
SMP 1,Baca Huruf Quran,Maret - April,Al Quran Juz 16
SMP 1,Baca Huruf Quran,Mei - Juni,Al Quran Juz 17
SMP 1,Baca Huruf Quran,Juli,Hukum Isti'adah dan basmalah
SMP 1,Baca Huruf Quran,Agustus,"Hukum nun sukun, tanwin dan Hukum Mim sukun"
SMP 1,Baca Huruf Quran,September,Hukum Mim Tasydid dan Nun Tasydid
SMP 1,Baca Huruf Quran,Januari,Hukum Al Ma'rifat
SMP 1,Baca Huruf Quran,Februari,Hukum Lam yang terdapat dalam Fi'il
SMP 1,Baca Huruf Quran,Maret,"Hukum Idghom (Mutamatsilain, Mutaqorribain, Mutajanisain)"
SMP 1,Tulis Huruf Arab,Juli - Agustus,Makna Juz 21
SMP 1,Tulis Huruf Arab,September - Oktober,Makna Juz 22
SMP 1,Tulis Huruf Arab,November - Desember,K. Sholah
SMP 1,Tulis Huruf Arab,Januari - Juni,Terampil menulis makna pegon
SMP 1,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Buruj
SMP 1,Hafalan Surat Al Qur'an,September - Oktober,3 Ayat terakhir al Hasyr
SMP 1,Hafalan Surat Al Qur'an,November - Desember,Dalil Wajibnya Berjamaah 1
SMP 1,Hafalan Surat Al Qur'an,Januari - Maret,Surat Al Insyiqaq
SMP 1,Hafalan Surat Al Qur'an,April - Juni,Dalil Wajibnya Berjamaah 2
SMP 1,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMP 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMP 1,Materi Dasar Keagamaan,Agustus,Pengetahuan wajibnya taat dan haromnya maksiat
SMP 1,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMP 1,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
SMP 1,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
SMP 1,Materi Dasar Keagamaan,Desember,mandi junub
SMP 1,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah
SMP 1,Materi Dasar Keagamaan,Februari,Puasa Romadhon
SMP 1,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMP 1,Materi Dasar Keagamaan,April,hukum mahrom
SMP 1,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
SMP 1,Materi Dasar Keagamaan,Juni,Aurot
SMP 1,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMP 1,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom
SMP 1,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
SMP 1,Praktik Ibadah,Juli - September,Praktik sholat tasbih
SMP 1,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
SMP 1,Praktik Ibadah,Januari - Maret,Praktik rutin membaca Al Quran
SMP 1,Praktik Ibadah,April - Juni,Praktik rutin membaca PR 13
SMP 1,Akhlaq,Juli - Agustus,Pribadi
SMP 1,Akhlaq,September - Oktober,Keluarga
SMP 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMP 1,Akhlaq,Januari - Maret,Masyarakat
SMP 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMP 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMP 1,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMP 1,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
SMP 1,Adab/ Tatakrama,Oktober,Tata krama berpakaian
SMP 1,Adab/ Tatakrama,November,Tata krama terhadap kerabat
SMP 1,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
SMP 1,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
SMP 1,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
SMP 1,Adab/ Tatakrama,Maret,Tata krama ketika menguap
SMP 1,Adab/ Tatakrama,April,Tata krama bersepeda
SMP 1,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMP 1,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMP 1,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMP 1,Adab/ Tatakrama,Agustus,Bergaul dengan teman
SMP 1,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
SMP 1,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
SMP 1,Adab/ Tatakrama,Februari,Tata krama tidur
SMP 1,Adab/ Tatakrama,Maret,Tata krama ketika bersin
SMP 1,Mandiri,Juli - Agustus,Kemandirian pribadi
SMP 1,Mandiri,September - Oktober,Kemandirian dalam keluarga
SMP 1,Mandiri,November - Desember,Kemandirian dalam lingkungan jamaah dan sekolah
SMP 1,Mandiri,Januari - Maret,Keterampilan Generus Putra
SMP 1,Mandiri,April - Juni,Keterampilan Generus Putri
